student_id,student_name,communication_score,leadership_score,time_management_score,analytical_score,overall_score,quiz_timestamp,gender,age,nationality
NEW_20250724195337,سوار,5.0,3.2,1.4,1.8,2.85,20250724195337,,,
NEW_20250724200508,سوار,5.0,2.8,1.4,2.0,2.8,20250724200508,,,
NEW_20250724200541,سوار,5.0,2.8,1.4,2.0,2.8,20250724200541,,,
NEW_20250724200557,Test,5.0,2.8,1.4,2.0,2.8,20250724200557,,,
NEW_20250724200601,Test,5.0,2.8,1.4,2.0,2.8,20250724200601,,,
NEW_20250724203052,سوار,5.0,4.6,1.6,2.6,3.45,20250724203052,Female,22.0,Tunisian
NEW_20250724204226,سوار,5.0,3.8,1.4,2.2,3.1000000000000005,20250724204226,Female,22.0,Tunisian
NEW_20250724205301,سوار,5.0,3.0,3.0,2.2,3.3,20250724205301,Female,22.0,Tunisian
NEW_20250724205322,سوار,5.0,3.0,3.0,2.2,3.3,20250724205322,Female,22.0,Tunisian
NEW_20250724211011,سوار,5.0,2.8,2.2,2.2,3.05,20250724211011,Female,22.0,Tunisian
NEW_20250724211019,سوار,5.0,2.8,2.2,2.2,3.05,20250724211019,Female,22.0,Tunisian
