question,category
I handle making unpopular decisions in a thoughtful and principled manner.,leadership
I balance delegating tasks with maintaining appropriate oversight.,leadership
I use effective strategies to inspire and energize team members.,leadership
I systematically evaluate the effectiveness of decisions I've made.,leadership
I recognize and utilize team members' individual strengths in task assignments.,leadership
I maintain high team motivation levels even during long-term projects.,leadership
I make effective decisions even under significant time pressure.,leadership
I follow a clear process when making important decisions.,leadership
I effectively motivate team members who are struggling with their tasks.,leadership
I balance input from others with my own judgment when making decisions.,leadership
I successfully lead teams through challenging situations by providing clear direction.,leadership
"I take full responsibility for team outcomes, whether successful or not.",leadership
I handle team failures or mistakes constructively and without blame.,leadership
I effectively encourage accountability in all team members.,leadership
I address situations where team members don't meet expectations in a constructive way.,leadership
